soil_ph,nitrogen,phosphorus,potassium,rainfall_mm,temperature_c,humidity_pct,crop
6.502985292000001,90,42,43,202.9355362,20.87974371,82.00274423,rice
7.038096361,85,58,41,226.6555374,21.77046169,80.31964408,rice
7.840207144,60,55,44,263.9642476,23.00445915,82.3207629,rice
6.980400905,74,35,40,242.8640342,26.49109635,80.15836264,rice
7.628472891,78,42,42,262.7173405,20.13017482,81.60487287,rice
7.073453503,69,37,42,251.0549998,23.05804872,83.37011772,rice
5.70080568,69,55,38,271.3248604,22.70883798,82.63941394,rice
5.718627177999999,94,53,40,241.9741949,20.27774362,82.89408619,rice
6.685346424,89,54,38,230.4462359,24.51588066,83.53521629999999,rice
6.336253525,68,58,38,221.2091958,23.22397386,83.03322691,rice
5.386167788,91,53,40,264.6148697,26.52723513,81.41753846,rice
7.50283396,90,46,42,250.0832336,23.97898217,81.45061596,rice
5.108681786,78,58,44,284.4364567,26.80079604,80.88684822,rice
6.98435366,93,56,36,185.2773389,24.01497622,82.05687182,rice
6.94801983,94,50,37,209.5869708,25.66585205,80.66385045,rice
7.042299068999999,60,48,39,231.0863347,24.28209415,80.30025587,rice
6.2490506560000005,85,38,41,276.65524589999995,21.58711777,82.7883708,rice
6.970859754,91,35,39,206.2611855,23.79391957,80.41817957,rice
5.953933276,77,38,36,224.55501690000003,21.8652524,80.1923008,rice
5.85393208,88,35,40,291.2986618000001,23.57943626,83.58760316,rice
6.442475375,89,45,36,185.4974732,21.32504158,80.47476396,rice
5.070175667,76,40,43,231.3843163,25.15745531,83.11713476,rice
6.012632591,67,59,41,213.3560921,21.94766735,80.97384195,rice
6.254028451,83,41,43,233.1075816,21.0525355,82.67839517,rice
7.375482851,98,47,37,224.0581164,23.48381344,81.33265073,rice
7.778915154,66,53,41,257.0038865,25.0756354,80.52389148,rice
6.2865001760000006,97,59,43,271.35861370000003,26.35927159,84.04403589,rice
7.070959995,97,50,41,260.2634026,24.52922681,80.54498576,rice
6.244841491,60,49,44,240.0810647,20.77576147,84.49774397,rice
